시간,건설공사비지수,기준금리,집값 변동률,스트레스 DSR,핵심규제지역,매수우위지수,"M2(평잔,계절조정계열)",가계대출,미분양 현황,건설공사비지수_lag1,건설공사비지수_lag2,건설공사비지수_lag3,기준금리_lag1,기준금리_lag2,기준금리_lag3,집값 변동률_lag1,집값 변동률_lag2,집값 변동률_lag3,스트레스 DSR_lag1,스트레스 DSR_lag2,스트레스 DSR_lag3,핵심규제지역_lag1,핵심규제지역_lag2,핵심규제지역_lag3,매수우위지수_lag1,매수우위지수_lag2,매수우위지수_lag3,"M2(평잔,계절조정계열)_lag1","M2(평잔,계절조정계열)_lag2","M2(평잔,계절조정계열)_lag3",가계대출_lag1,가계대출_lag2,가계대출_lag3,미분양 현황_lag1,미분양 현황_lag2,미분양 현황_lag3
23-Sep,129.34,3.5,0.35,0.0,0.5,32.9,3711125.5,1225664.6,70173.0,127.39,127.33,127.42,3.5,3.5,3.5,0.23,0.06,-0.04,0.0,0.0,0.0,0.5,0.5,0.5,32.6,29.8,28.4,3705542.3,3706867.0,3677190.3,1224789.3,1222814.0,1220612.2,70173.0,70173.0,70173.0
23-Oct,129.13,3.5,0.27,0.0,0.5,28.2,3725384.7,1229314.5,70173.0,129.34,127.39,127.33,3.5,3.5,3.5,0.35,0.23,0.06,0.0,0.0,0.0,0.5,0.5,0.5,32.9,32.6,29.8,3711125.5,3705542.3,3706867.0,1225664.6,1224789.3,1222814.0,70173.0,70173.0,70173.0
23-Nov,128.94,3.5,0.04,0.0,0.5,23.1,3753198.7,1231597.1,70173.0,129.13,129.34,127.39,3.5,3.5,3.5,0.27,0.35,0.23,0.0,0.0,0.0,0.5,0.5,0.5,28.2,32.9,32.6,3725384.7,3711125.5,3705542.3,1229314.5,1225664.6,1224789.3,70173.0,70173.0,70173.0
23-Dec,128.78,3.5,-0.15,0.0,0.5,18.8,3746265.4,1231037.7,70173.0,128.94,129.13,129.34,3.5,3.5,3.5,0.04,0.27,0.35,0.0,0.0,0.0,0.5,0.5,0.5,23.1,28.2,32.9,3753198.7,3725384.7,3711125.5,1231597.1,1229314.5,1225664.6,70173.0,70173.0,70173.0
24-Jan,129.77,3.5,-0.2,0.0,0.5,21.2,3737150.0,1232244.0,70173.0,128.78,128.94,129.13,3.5,3.5,3.5,-0.15,0.04,0.27,0.0,0.0,0.0,0.5,0.5,0.5,18.8,23.1,28.2,3746265.4,3753198.7,3725384.7,1231037.7,1231597.1,1229314.5,70173.0,70173.0,70173.0
24-Feb,130.05,3.5,-0.21,0.38,0.5,20.5,3762421.4,1230997.8,70173.0,129.77,128.78,128.94,3.5,3.5,3.5,-0.2,-0.15,0.04,0.0,0.0,0.0,0.5,0.5,0.5,21.2,18.8,23.1,3737150.0,3746265.4,3753198.7,1232244.0,1231037.7,1231597.1,70173.0,70173.0,70173.0
24-Mar,130.05,3.5,-0.18,0.38,0.5,22.9,3804502.7,1226098.0,70173.0,130.05,129.77,128.78,3.5,3.5,3.5,-0.21,-0.2,-0.15,0.38,0.0,0.0,0.5,0.5,0.5,20.5,21.2,18.8,3762421.4,3737150.0,3746265.4,1230997.8,1232244.0,1231037.7,70173.0,70173.0,70173.0
24-Apr,130.08,3.5,-0.08,0.38,0.5,24.0,3808016.6,1230031.0,70173.0,130.05,130.05,129.77,3.5,3.5,3.5,-0.18,-0.21,-0.2,0.38,0.38,0.0,0.5,0.5,0.5,22.9,20.5,21.2,3804502.7,3762421.4,3737150.0,1226098.0,1230997.8,1232244.0,70173.0,70173.0,70173.0
24-May,130.2,3.5,-0.03,0.38,0.5,23.6,3809604.3,1234936.3,70173.0,130.08,130.05,130.05,3.5,3.5,3.5,-0.08,-0.18,-0.21,0.38,0.38,0.38,0.5,0.5,0.5,24.0,22.9,20.5,3808016.6,3804502.7,3762421.4,1230031.0,1226098.0,1230997.8,70173.0,70173.0,70173.0
24-Jun,130.11,3.5,0.04,0.38,0.5,28.4,3810925.3,1239381.3,70173.0,130.2,130.08,130.05,3.5,3.5,3.5,-0.03,-0.08,-0.18,0.38,0.38,0.38,0.5,0.5,0.5,23.6,24.0,22.9,3809604.3,3808016.6,3804502.7,1234936.3,1230031.0,1226098.0,70173.0,70173.0,70173.0
24-Jul,129.96,3.5,0.21,0.38,0.5,35.6,3823612.1,1244664.1,70173.0,130.11,130.2,130.08,3.5,3.5,3.5,0.04,-0.03,-0.08,0.38,0.38,0.38,0.5,0.5,0.5,28.4,23.6,24.0,3810925.3,3809604.3,3808016.6,1239381.3,1234936.3,1230031.0,70173.0,70173.0,70173.0
24-Aug,129.72,3.5,0.33,0.38,0.5,37.6,3834045.4,1254330.5,70173.0,129.96,130.11,130.2,3.5,3.5,3.5,0.21,0.04,-0.03,0.38,0.38,0.38,0.5,0.5,0.5,35.6,28.4,23.6,3823612.1,3810925.3,3809604.3,1244664.1,1239381.3,1234936.3,70173.0,70173.0,70173.0
24-Sep,130.39,3.5,0.23,0.75,0.5,36.5,3850110.0,1260275.1,70173.0,129.72,129.96,130.11,3.5,3.5,3.5,0.33,0.21,0.04,0.38,0.38,0.38,0.5,0.5,0.5,37.6,35.6,28.4,3834045.4,3823612.1,3810925.3,1254330.5,1244664.1,1239381.3,70173.0,70173.0,70173.0
24-Oct,130.29,3.25,0.08,0.75,0.5,31.4,3856830.2,1264622.0,70173.0,130.39,129.72,129.96,3.5,3.5,3.5,0.23,0.33,0.21,0.75,0.38,0.38,0.5,0.5,0.5,36.5,37.6,35.6,3850110.0,3834045.4,3823612.1,1260275.1,1254330.5,1244664.1,70173.0,70173.0,70173.0
24-Nov,130.22,3.0,0.0,0.75,0.5,28.2,3877653.5,1269810.4,70173.0,130.29,130.39,129.72,3.25,3.5,3.5,0.08,0.23,0.33,0.75,0.75,0.38,0.5,0.5,0.5,31.4,36.5,37.6,3856830.2,3850110.0,3834045.4,1264622.0,1260275.1,1254330.5,70173.0,70173.0,70173.0
24-Dec,130.12,3.0,-0.11,0.75,0.5,25.7,3899883.8,1273139.2,70173.0,130.22,130.29,130.39,3.0,3.25,3.5,0.0,0.08,0.23,0.75,0.75,0.75,0.5,0.5,0.5,28.2,31.4,36.5,3877653.5,3856830.2,3850110.0,1269810.4,1264622.0,1260275.1,70173.0,70173.0,70173.0
